doctype,subtype,path,filename,ext
palynology and core data,biostratigraphy,\Swallow-1\P00577959\Appendix_9_Basic_Palynology_Report_Western_Palynoservices.pdf,Appendix_9_Basic_Palynology_Report_Western_Palynoservices.pdf,pdf
well log,log,\Swallow-1\P00577959\Appendix_5_Temperature_Data.pdf,Appendix_5_Temperature_Data.pdf,pdf
operations and drilling,operations and drilling,\Swallow-1\P00577959\Appendix_1_Swallow_1_Drilling_Final_Well_Report.pdf,Appendix_1_Swallow_1_Drilling_Final_Well_Report.pdf,pdf
well report,well completion report,\Swallow-1\P00577959\Swallow_1_BasicWCR.pdf,Swallow_1_BasicWCR.pdf,pdf
palynology and core data,core,\Swallow-1\P00577959\Appendix_2_Cuttings_Descriptions_Coogee.pdf,Appendix_2_Cuttings_Descriptions_Coogee.pdf,pdf
palynology and core data,core,\Swallow-1\P00577959\Appendix_3_MSCT_Core_Descriptions_Coogee.pdf,Appendix_3_MSCT_Core_Descriptions_Coogee.pdf,pdf
operations and drilling,operations and drilling,\Swallow-1\P00577959\Appendix_6_Mudlogging_EOWR_Baker_Hughes_Inteq.pdf,Appendix_6_Mudlogging_EOWR_Baker_Hughes_Inteq.pdf,pdf
palynology and core data,biostratigraphy,\Swallow-1\P00577959\Appendix_10_Micropaleontology_Report_Swallow1.pdf,Appendix_10_Micropaleontology_Report_Swallow1.pdf,pdf
operations and drilling,operations and drilling,\Swallow-1\P00577959\Appendix_4_Daily_Geological_Reports.pdf,Appendix_4_Daily_Geological_Reports.pdf,pdf
well log,log,\Swallow-1\P00575560\suite_3_Run_1_USIT-CBL\Prints\Swallow_1_S3R1_CBL_VDL_200.PDF,Swallow_1_S3R1_CBL_VDL_200.PDF,PDF
well log,log,\Swallow-1\P00575560\suite_3_Run_1_USIT-CBL\Prints\Swallow_1_S3R1_USIT.PDS,Swallow_1_S3R1_USIT.PDS,PDS
well log,log,\Swallow-1\P00575560\suite_3_Run_1_USIT-CBL\Prints\Swallow_1_S3R1_CBL_VDL_200.PDS,Swallow_1_S3R1_CBL_VDL_200.PDS,PDS
well log,log,\Swallow-1\P00575560\suite_3_Run_1_USIT-CBL\Prints\Swallow_1_S3R1_USIT.PDF,Swallow_1_S3R1_USIT.PDF,PDF
well log,log,\Swallow-1\P00575560\Suite_4_Run_1_TCP_correlation\Prints\Swallow_1_S4R1_TCPcorrelation.PDF,Swallow_1_S4R1_TCPcorrelation.PDF,PDF
well log,log,\Swallow-1\P00575560\Suite_4_Run_1_TCP_correlation\Prints\Swallow_1_S4R1_TCPcorrelation.PDS,Swallow_1_S4R1_TCPcorrelation.PDS,PDS
well log,log,\Swallow-1\P00575560\Suite_4_Run_1_TCP_correlation\client_Data\PERFO_045PUP.DLIS,PERFO_045PUP.DLIS,DLIS
well report,well test,\Swallow-1\P00575559\Swallow_1\Suite_2\Run_5\REPORT\Swallow-1_S2R5_MDTpretests.PDF,Swallow-1_S2R5_MDTpretests.PDF,PDF
well report,well test,\Swallow-1\P00575559\Swallow_1\Suite_2\Run_5\REPORT\Swallow-1_S2R5_MDTpretests.PDS,Swallow-1_S2R5_MDTpretests.PDS,PDS
well report,well test,\Swallow-1\P00575559\Swallow_1\Suite_2\Run_5\REPORT\Swallow-1_S2R5_MDTsampling.PDF,Swallow-1_S2R5_MDTsampling.PDF,PDF
well log,log,\Swallow-1\P00575559\Swallow_1\Suite_2\Run_5\DATA\Sampling_at_2436_98_132LTP.DLIS,Sampling_at_2436_98_132LTP.DLIS,DLIS
well report,well test,\Swallow-1\P00575559\Swallow_1\Suite_2\Run_5\DATA\pretest_at_2407_85_137LTP.DLIS,pretest_at_2407_85_137LTP.DLIS,DLIS
well log,log,\Swallow-1\P00575559\Swallow_1\Suite_2\Run_5\DATA\Sampling_at_2411_62_131LTP.DLIS,Sampling_at_2411_62_131LTP.DLIS,DLIS
well report,well test,\Swallow-1\P00575559\Swallow_1\Suite_2\Run_5\DATA\pretest_at_2406_96_136LTP.DLIS,pretest_at_2406_96_136LTP.DLIS,DLIS
well log,log,\Swallow-1\P00575559\Swallow_1\Suite_2\Run_6\REPORT\Swallow-1_S2R6_MSCT.PDF,Swallow-1_S2R6_MSCT.PDF,PDF
well log,log,\Swallow-1\P00575559\Swallow_1\Suite_2\Run_6\REPORT\Swallow-1_S2R6_MSCT.PDS,Swallow-1_S2R6_MSCT.PDS,PDS
well log,log,\Swallow-1\P00575559\Swallow_1\Suite_2\Run_6\DATA\Core_2433_1_160LTP.DLIS,Core_2433_1_160LTP.DLIS,DLIS
well log,log,\Swallow-1\P00575559\Swallow_1\Suite_2\Run_6\DATA\Core_2423_4_153LTP.DLIS,Core_2423_4_153LTP.DLIS,DLIS
well log,log,\Swallow-1\P00575559\Swallow_1\Suite_2\Run_6\DATA\Core_2403_3_158LTP.DLIS,Core_2403_3_158LTP.DLIS,DLIS
well log,log,\Swallow-1\P00575559\Swallow_1\Suite_2\Run_6\DATA\Core_2436_0_149LTP.DLIS,Core_2436_0_149LTP.DLIS,DLIS
well log,log,\Swallow-1\P00575559\Swallow_1\Suite_2\Run_6\DATA\Core_2426_2_152LTP.DLIS,Core_2426_2_152LTP.DLIS,DLIS
well log,log,\Swallow-1\P00575559\Swallow_1\Suite_2\Run_6\DATA\Correlation_pass_3_164LUP.DLIS,Correlation_pass_3_164LUP.DLIS,DLIS
well log,log,\Swallow-1\P00575559\Swallow_1\Suite_2\Run_6\DATA\Core_2419_55_154LTP.DLIS,Core_2419_55_154LTP.DLIS,DLIS
well log,log,\Swallow-1\P00575559\Swallow_1\Suite_2\Run_6\DATA\Core_1857_6_166LTP.DLIS,Core_1857_6_166LTP.DLIS,DLIS
well log,log,\Swallow-1\P00575559\Swallow_1\Suite_2\Run_6\DATA\Core_2433_0_150LTP.DLIS,Core_2433_0_150LTP.DLIS,DLIS
well log,log,\Swallow-1\P00575559\Swallow_1\Suite_2\Run_6\DATA\Core_2405_75_157LTP.DLIS,Core_2405_75_157LTP.DLIS,DLIS
well log,log,\Swallow-1\P00575559\Swallow_1\Suite_2\Run_6\DATA\Correlation_pass_146LUP.DLIS,Correlation_pass_146LUP.DLIS,DLIS
well log,log,\Swallow-1\P00575559\Swallow_1\Suite_2\Run_6\DATA\Core_1857_15_167LTP.DLIS,Core_1857_15_167LTP.DLIS,DLIS
well log,log,\Swallow-1\P00575559\Swallow_1\Suite_2\Run_6\DATA\Correlation_pass_1_147LUP.DLIS,Correlation_pass_1_147LUP.DLIS,DLIS
well log,log,\Swallow-1\P00575559\Swallow_1\Suite_2\Run_6\DATA\Correlation_pass_2_163LUP.DLIS,Correlation_pass_2_163LUP.DLIS,DLIS
well log,log,\Swallow-1\P00575559\Swallow_1\Suite_2\Run_6\DATA\Core_2429_8_161LTP.DLIS,Core_2429_8_161LTP.DLIS,DLIS
well log,log,\Swallow-1\P00575559\Swallow_1\Suite_2\Run_6\DATA\Core_2415_4_155LTP.DLIS,Core_2415_4_155LTP.DLIS,DLIS
well log,log,\Swallow-1\P00575559\Swallow_1\Suite_2\Run_6\DATA\Core_2439_0_148LTP.DLIS,Core_2439_0_148LTP.DLIS,DLIS
well log,log,\Swallow-1\P00575559\Swallow_1\Suite_2\Run_6\DATA\Core_2426_1_162LTP.DLIS,Core_2426_1_162LTP.DLIS,DLIS
well log,log,\Swallow-1\P00575559\Swallow_1\Suite_2\Run_6\DATA\Core_2397_5_159LTP.DLIS,Core_2397_5_159LTP.DLIS,DLIS
well log,log,\Swallow-1\P00575559\Swallow_1\Suite_2\Run_6\DATA\Core_2429_7_151LTP.DLIS,Core_2429_7_151LTP.DLIS,DLIS
well log,log,\Swallow-1\P00575559\Swallow_1\Suite_2\Run_6\DATA\Core_1859_2_165LTP.DLIS,Core_1859_2_165LTP.DLIS,DLIS
well log,log,\Swallow-1\P00575559\Swallow_1\Suite_2\Run_6\DATA\Core_2411_6_156LTP.DLIS,Core_2411_6_156LTP.DLIS,DLIS
well log,log,\Swallow-1\P00575559\Swallow_1\Suite_2\Run_1\REPORT\Swallow-1_S2R1_FMI40.PDF,Swallow-1_S2R1_FMI40.PDF,PDF
well log,log,\Swallow-1\P00575559\Swallow_1\Suite_2\Run_1\REPORT\Swallow-1_S2R1_PEX200.PDF,Swallow-1_S2R1_PEX200.PDF,PDF
well log,log,\Swallow-1\P00575559\Swallow_1\Suite_2\Run_1\REPORT\Swallow-1_S2R1_DSI200.PDS,Swallow-1_S2R1_DSI200.PDS,PDS
well log,log,\Swallow-1\P00575559\Swallow_1\Suite_2\Run_1\REPORT\Swallow-1_S2R1_PEX500.PDS,Swallow-1_S2R1_PEX500.PDS,PDS
well log,log,\Swallow-1\P00575559\Swallow_1\Suite_2\Run_1\REPORT\Swallow-1_S2R1_PEX500.PDF,Swallow-1_S2R1_PEX500.PDF,PDF
well log,log,\Swallow-1\P00575559\Swallow_1\Suite_2\Run_1\REPORT\Swallow-1_S2R1_Dips200.PDF,Swallow-1_S2R1_Dips200.PDF,PDF
well log,log,\Swallow-1\P00575559\Swallow_1\Suite_2\Run_1\REPORT\Swallow-1_S2R1_FMI40.PDS,Swallow-1_S2R1_FMI40.PDS,PDS
well log,log,\Swallow-1\P00575559\Swallow_1\Suite_2\Run_1\REPORT\Swallow-1_S2R1_DSI200.PDF,Swallow-1_S2R1_DSI200.PDF,PDF
well log,log,\Swallow-1\P00575559\Swallow_1\Suite_2\Run_1\REPORT\Swallow-1_S2R1_Dips200.PDS,Swallow-1_S2R1_Dips200.PDS,PDS
well log,log,\Swallow-1\P00575559\Swallow_1\Suite_2\Run_1\REPORT\Swallow-1_S2R1_PEX200.PDS,Swallow-1_S2R1_PEX200.PDS,PDS
well log,log,\Swallow-1\P00575559\Swallow_1\Suite_2\Run_1\DATA\Swallow-1_S2R1_PEX_DSI_Hires.DLIS,Swallow-1_S2R1_PEX_DSI_Hires.DLIS,DLIS
well log,log,\Swallow-1\P00575559\Swallow_1\Suite_2\Run_1\DATA\Swallow-1_S2R1_PEX-HRLA-DSI-FMI_repeat.DLIS,Swallow-1_S2R1_PEX-HRLA-DSI-FMI_repeat.DLIS,DLIS
well log,log,\Swallow-1\P00575559\Swallow_1\Suite_2\Run_1\DATA\Swallow-1_S2R1_FMI_main.DLIS,Swallow-1_S2R1_FMI_main.DLIS,DLIS
well log,log,\Swallow-1\P00575559\Swallow_1\Suite_2\Run_1\DATA\Swallow-1_S2R1_PEX-HRLA-DSI-FMI_main.DLIS,Swallow-1_S2R1_PEX-HRLA-DSI-FMI_main.DLIS,DLIS
well log,log,\Swallow-1\P00575559\Swallow_1\Suite_2\Run_1\ANCILLARY\swallow-1_S2R1_PEX-HRLA-DSI-FMI_main.las,swallow-1_S2R1_PEX-HRLA-DSI-FMI_main.las,las
well log,log,\Swallow-1\P00575559\Swallow_1\Suite_2\Run_1\ANCILLARY\Swallow-1_S2R1_PEX-HRLA-DSI-FMI_repeat.las,Swallow-1_S2R1_PEX-HRLA-DSI-FMI_repeat.las,las
well log,log,\Swallow-1\P00575559\Swallow_1\Suite_2\Run_1\ANCILLARY\Swallow-1_S2R1_PEX_DSI_hires.las,Swallow-1_S2R1_PEX_DSI_hires.las,las
operations and drilling,seismic,\Swallow-1\P00575559\Swallow_1\Suite_2\Run_4\REPORT\Swallow-1_S2R4_SeismicPlotCsat_117.PDF,Swallow-1_S2R4_SeismicPlotCsat_117.PDF,PDF
operations and drilling,seismic,\Swallow-1\P00575559\Swallow_1\Suite_2\Run_4\ANCILLARY\Swallow-1_S2R4_VspOwtLst.TXT,Swallow-1_S2R4_VspOwtLst.TXT,TXT
operations and drilling,seismic,\Swallow-1\P00575559\Swallow_1\Suite_2\Run_4\ANCILLARY\APG_BHS_Job_Sheet_V4cp_AirgunZVSP_Swallow-1_2.jpg,APG_BHS_Job_Sheet_V4cp_AirgunZVSP_Swallow-1_2.jpg,jpg
operations and drilling,seismic,\Swallow-1\P00575559\Swallow_1\Suite_2\Run_4\ANCILLARY\Swallow-1_S2R4_VspTwtLst.TXT,Swallow-1_S2R4_VspTwtLst.TXT,TXT
operations and drilling,seismic,\Swallow-1\P00575559\Swallow_1\Suite_2\Run_4\ANCILLARY\APG_BHS_Job_Sheet_V4cp_AirgunZVSP_Swallow-1_1.jpg,APG_BHS_Job_Sheet_V4cp_AirgunZVSP_Swallow-1_1.jpg,jpg
well report,well test,\Swallow-1\P00575559\Swallow_1\Suite_2\Run_3\REPORT\Swallow-1_S2R3_MDTpretests.PDS,Swallow-1_S2R3_MDTpretests.PDS,PDS
well report,well test,\Swallow-1\P00575559\Swallow_1\Suite_2\Run_3\REPORT\Swallow-1_S2R3_MDTsampling.PDF,Swallow-1_S2R3_MDTsampling.PDF,PDF
well report,well test,\Swallow-1\P00575559\Swallow_1\Suite_2\Run_3\REPORT\Swallow-1_S2R3_MDTpretests.PDF,Swallow-1_S2R3_MDTpretests.PDF,PDF
well report,well test,\Swallow-1\P00575559\Swallow_1\Suite_2\Run_3\REPORT\Swallow-1_S2R3_MDTsampling.PDS,Swallow-1_S2R3_MDTsampling.PDS,PDS
well log,log,\Swallow-1\P00575559\Swallow_1\Suite_2\Run_3\DATA\Sampling_at_2411_63_087LTP.DLIS,Sampling_at_2411_63_087LTP.DLIS,DLIS
well report,well test,\Swallow-1\P00575559\Swallow_1\Suite_2\Run_2\REPORT\Swallow-1_S2R2_MDTsampling.PDF,Swallow-1_S2R2_MDTsampling.PDF,PDF
well report,well test,\Swallow-1\P00575559\Swallow_1\Suite_2\Run_2\REPORT\Swallow-1_S2R2_MDTpretests.PDS,Swallow-1_S2R2_MDTpretests.PDS,PDS
well report,well test,\Swallow-1\P00575559\Swallow_1\Suite_2\Run_2\REPORT\Swallow-1_S2R2_MDTsampling.PDS,Swallow-1_S2R2_MDTsampling.PDS,PDS
well report,well test,\Swallow-1\P00575559\Swallow_1\Suite_2\Run_2\REPORT\Swallow-1_S2R2_MDTpretests.PDF,Swallow-1_S2R2_MDTpretests.PDF,PDF
well log,log,\Swallow-1\P00575559\Swallow_1\Suite_2\Run_2\DATA\Sampling_at_2430_55_075LTP.DLIS,Sampling_at_2430_55_075LTP.DLIS,DLIS
well log,log,\Swallow-1\P00575559\Swallow_1\Suite_2\Run_2\DATA\Sampling_at_2426_20_074LTP.DLIS,Sampling_at_2426_20_074LTP.DLIS,DLIS
well log,log,\Swallow-1\P00575559\Swallow_1\Suite_2\Run_2\DATA\Sampling_at_2421_20_073LTP.DLIS,Sampling_at_2421_20_073LTP.DLIS,DLIS
palynology and core data,core,\Swallow-1\P00575561\Swallow-1 Sampling report.pdf,Swallow-1 Sampling report.pdf,pdf
palynology and core data,core,\Swallow-1\P00580007\ENO364087_Appendix_20_Routine_Core_Analysis_Swallow_Core_Lab.pdf,ENO364087_Appendix_20_Routine_Core_Analysis_Swallow_Core_Lab.pdf,pdf
well report,well completion report,\Swallow-1\P00580007\ENO364087_Enclosure_1_Swallow_1_Composite_Log.pdf,ENO364087_Enclosure_1_Swallow_1_Composite_Log.pdf,pdf
well report,well completion report,\Swallow-1\P00580007\ENO364087_Swallow_1_Interp_WCR_Rev_1.pdf,ENO364087_Swallow_1_Interp_WCR_Rev_1.pdf,pdf
well report,well completion report,\Swallow-1\P00580007\ENO364087_Appendix_14_Swallow_1_Plover_2395_72m_whole_oil.pdf,ENO364087_Appendix_14_Swallow_1_Plover_2395_72m_whole_oil.pdf,pdf
palynology and core data,geochem,\Swallow-1\P00580007\ENO364087_Appendix_17_Plover_PVT_Final_Report.pdf,ENO364087_Appendix_17_Plover_PVT_Final_Report.pdf,pdf
well report,well test,\Swallow-1\P00580007\ENO364087_Appendix_7_Plover_MDT_Data_Sheet_S2_R5.pdf,ENO364087_Appendix_7_Plover_MDT_Data_Sheet_S2_R5.pdf,pdf
well report,well test,\Swallow-1\P00580007\ENO364087_Appendix_8_Swallow_1_MDT_Interp_Report.pdf,ENO364087_Appendix_8_Swallow_1_MDT_Interp_Report.pdf,pdf
palynology and core data,geochem,\Swallow-1\P00580007\ENO364087_Appendix_18_Swallow_1_Water_Analysis_Puffin.pdf,ENO364087_Appendix_18_Swallow_1_Water_Analysis_Puffin.pdf,pdf
operations and drilling,seismic,\Swallow-1\P00580007\ENO364087_Appendix_9_Seismic_Processing_Report.pdf,ENO364087_Appendix_9_Seismic_Processing_Report.pdf,pdf
well report,well test,\Swallow-1\P00580007\ENO364087_Appendix_12_DST_Interp_Report_Appendix_B.pdf,ENO364087_Appendix_12_DST_Interp_Report_Appendix_B.pdf,pdf
well report,well completion report,\Swallow-1\P00580007\ENO364087_Swallow_1_Interp_WCR_Rev_1_Complete.pdf,ENO364087_Swallow_1_Interp_WCR_Rev_1_Complete.pdf,pdf
well report,well test,\Swallow-1\P00580007\ENO364087_Appendix_6_Plover_MDT_Data_Sheet_S2_R2.pdf,ENO364087_Appendix_6_Plover_MDT_Data_Sheet_S2_R2.pdf,pdf
well report,well completion report,\Swallow-1\P00580007\ENO364087_Appendix_1_Well_Index_Sheet.pdf,ENO364087_Appendix_1_Well_Index_Sheet.pdf,pdf
well report,well completion report,\Swallow-1\P00580007\ENO364087_Enclosure_2b_PLOVER_cpx_interpretation.pdf,ENO364087_Enclosure_2b_PLOVER_cpx_interpretation.pdf,pdf
well report,well completion report,\Swallow-1\P00580007\ENO364087_Enclosure_3_Swift_Field_Correlation.pdf,ENO364087_Enclosure_3_Swift_Field_Correlation.pdf,pdf
palynology and core data,geochem,\Swallow-1\P00580007\ENO364087_Appendix_19_Geochem_Oil_Typing_Geotech.pdf,ENO364087_Appendix_19_Geochem_Oil_Typing_Geotech.pdf,pdf
well report,well completion report,\Swallow-1\P00580007\ENO364087_Appendix_15_Swallow_1_Puffin_1857_18m_Sim_Dis.pdf,ENO364087_Appendix_15_Swallow_1_Puffin_1857_18m_Sim_Dis.pdf,pdf
well report,well completion report,\Swallow-1\P00580007\ENO364087_Enclosure_2a_PUFFIN_cpx_interpretation.pdf,ENO364087_Enclosure_2a_PUFFIN_cpx_interpretation.pdf,pdf
well report,well completion report,\Swallow-1\P00580007\ENO364087_Appendix_4_Swallow_1_Log_Analysis_Plover_Puffin.pdf,ENO364087_Appendix_4_Swallow_1_Log_Analysis_Plover_Puffin.pdf,pdf
palynology and core data,biostratigraphy,\Swallow-1\P00580007\ENO364087_Appendix_2_Palynology_Report.pdf,ENO364087_Appendix_2_Palynology_Report.pdf,pdf
well report,well test,\Swallow-1\P00580007\ENO364087_Appendix_11_DST_Interp_Report.pdf,ENO364087_Appendix_11_DST_Interp_Report.pdf,pdf
well report,well completion report,\Swallow-1\P00580007\ENO364087_Appendix_13_Swallow_1_Puffin_1857_18m_whole_oil.pdf,ENO364087_Appendix_13_Swallow_1_Puffin_1857_18m_whole_oil.pdf,pdf
palynology and core data,geochem,\Swallow-1\P00580007\ENO364087_Appendix_16_Puffin_PVT_Final_Report.pdf,ENO364087_Appendix_16_Puffin_PVT_Final_Report.pdf,pdf
well report,well test,\Swallow-1\P00580007\ENO364087_Appendix_5_Puffin_MDT_Data_Sheet.pdf,ENO364087_Appendix_5_Puffin_MDT_Data_Sheet.pdf,pdf
palynology and core data,biostratigraphy,\Swallow-1\P00580007\ENO364087_Appendix_3_Micropaly_Report.pdf,ENO364087_Appendix_3_Micropaly_Report.pdf,pdf
well report,well test,\Swallow-1\P00580007\ENO364087_Appendix_10_DST_Field_Report_Plover.pdf,ENO364087_Appendix_10_DST_Field_Report_Plover.pdf,pdf
operations and drilling,seismic,\Swallow-1\P00575558\Swallow_1_Intermediate\DepthSummary_1.PDS,DepthSummary_1.PDS,PDS
operations and drilling,seismic,\Swallow-1\P00575558\Swallow_1_Intermediate\WellSketch_seismic.PDS,WellSketch_seismic.PDS,PDS
operations and drilling,seismic,\Swallow-1\P00575558\Swallow_1_Intermediate\WellSketch_Intermediate.PDS,WellSketch_Intermediate.PDS,PDS
well report,well test,\Swallow-1\P00575558\Swallow_1_Intermediate\Suite1_Run2\Prints\Swallow-1_S1R2-23-March-2006_MDT-GR_Sampling.PDS,Swallow-1_S1R2-23-March-2006_MDT-GR_Sampling.PDS,PDS
well report,well test,\Swallow-1\P00575558\Swallow_1_Intermediate\Suite1_Run2\Prints\Swallow-1_S1R2-23-March-2006_MDT-GR_Pretest.PDF,Swallow-1_S1R2-23-March-2006_MDT-GR_Pretest.PDF,PDF
well report,well test,\Swallow-1\P00575558\Swallow_1_Intermediate\Suite1_Run2\Prints\Swallow-1_S1R2-23-March-2006_MDT-GR_Sampling.PDF,Swallow-1_S1R2-23-March-2006_MDT-GR_Sampling.PDF,PDF
well report,well test,\Swallow-1\P00575558\Swallow_1_Intermediate\Suite1_Run2\Prints\Swallow-1_S1R2-23-March-2006_MDT-GR_Pretest.PDS,Swallow-1_S1R2-23-March-2006_MDT-GR_Pretest.PDS,PDS
well report,well test,\Swallow-1\P00575558\Swallow_1_Intermediate\Suite1_Run2\Client\Swallow-1_S1R2_MDT-GR.DLIS,Swallow-1_S1R2_MDT-GR.DLIS,DLIS
well log,log,\Swallow-1\P00575558\Swallow_1_Intermediate\Suite1_Run1\Prints\Swallow-1_S1R1_DIPS_200.PDS,Swallow-1_S1R1_DIPS_200.PDS,PDS
well log,log,\Swallow-1\P00575558\Swallow_1_Intermediate\Suite1_Run1\Prints\Swallow-1_S1R1_DSI_200.PDF,Swallow-1_S1R1_DSI_200.PDF,PDF
well log,log,\Swallow-1\P00575558\Swallow_1_Intermediate\Suite1_Run1\Prints\Swallow-1_S1R1_DSI_500.PDS,Swallow-1_S1R1_DSI_500.PDS,PDS
well log,log,\Swallow-1\P00575558\Swallow_1_Intermediate\Suite1_Run1\Prints\Swallow-1_S1R1_FMI_40.PDF,Swallow-1_S1R1_FMI_40.PDF,PDF
well log,log,\Swallow-1\P00575558\Swallow_1_Intermediate\Suite1_Run1\Prints\Swallow-1_S1R1_DSI_200.PDS,Swallow-1_S1R1_DSI_200.PDS,PDS
well log,log,\Swallow-1\P00575558\Swallow_1_Intermediate\Suite1_Run1\Prints\Swallow-1_S1R1_PEX_500.PDS,Swallow-1_S1R1_PEX_500.PDS,PDS
well log,log,\Swallow-1\P00575558\Swallow_1_Intermediate\Suite1_Run1\Prints\Swallow-1_S1R1_PEX_500.PDF,Swallow-1_S1R1_PEX_500.PDF,PDF
well log,log,\Swallow-1\P00575558\Swallow_1_Intermediate\Suite1_Run1\Prints\Swallow-1_S1R1_DIPS_200.PDF,Swallow-1_S1R1_DIPS_200.PDF,PDF
well log,log,\Swallow-1\P00575558\Swallow_1_Intermediate\Suite1_Run1\Prints\Swallow-1_S1R1_DSI_500.PDF,Swallow-1_S1R1_DSI_500.PDF,PDF
well log,log,\Swallow-1\P00575558\Swallow_1_Intermediate\Suite1_Run1\Prints\Swallow-1_S1R1_PEX_200.PDF,Swallow-1_S1R1_PEX_200.PDF,PDF
well log,log,\Swallow-1\P00575558\Swallow_1_Intermediate\Suite1_Run1\Prints\Swallow-1_S1R1_FMI_40.PDS,Swallow-1_S1R1_FMI_40.PDS,PDS
well log,log,\Swallow-1\P00575558\Swallow_1_Intermediate\Suite1_Run1\Prints\Swallow-1_S1R1_PEX_200.PDS,Swallow-1_S1R1_PEX_200.PDS,PDS
well log,log,\Swallow-1\P00575558\Swallow_1_Intermediate\Suite1_Run1\Client\Swallow-1_S1R1_PEX_HRLA_DSI_FMI_mainpass.DLIS,Swallow-1_S1R1_PEX_HRLA_DSI_FMI_mainpass.DLIS,DLIS
well log,log,\Swallow-1\P00575558\Swallow_1_Intermediate\Suite1_Run1\Client\Swallow-1_S1R1_PEX_HRLA_DSI_FMI_mainpass.las,Swallow-1_S1R1_PEX_HRLA_DSI_FMI_mainpass.las,las
well log,log,\Swallow-1\P00575558\Swallow_1_Intermediate\Suite1_Run1\Client\Swallow-1_S1R1_PEX_HRLA_DSI_FMI_Hires.DLIS,Swallow-1_S1R1_PEX_HRLA_DSI_FMI_Hires.DLIS,DLIS
well log,log,\Swallow-1\P00575558\Swallow_1_Intermediate\Suite1_Run1\Client\Swallow-1_S1R1_PEX_HRLA_DSI_FMI_repeatsection.DLIS,Swallow-1_S1R1_PEX_HRLA_DSI_FMI_repeatsection.DLIS,DLIS
well log,log,\Swallow-1\P00575558\Swallow_1_Intermediate\Suite1_Run1\Client\Swallow-1_S1R1_PEX-HRLA_DSI_FMI.las,Swallow-1_S1R1_PEX-HRLA_DSI_FMI.las,las
